R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
81,94,75,76,32,66,73,53,36,121,77,76,84,78,80,81,94,75,76,32,66,73,53,36,121,77,76,84,78,80
42,59,144,15,15,24,24,58,35,44,52,92,12,13,73,42,59,144,15,15,24,24,58,35,44,52,92,12,13,73
99,141,150,86,123,137,57,84,109,40,63,84,19,39,62,20,20,20,0,60,0,19,39,62,128,128,128,111,100,62
110,124,94,65,86,66,26,47,38,22,37,30,187,195,146,50,20,20,67,122,99,135,149,139,46,46,58,10,11,36
155,147,136,210,198,176,83,80,71,199,183,147,221,221,219,0,0,0,210,198,176,83,80,71,199,183,147,221,221,219
254,167,117,212,96,89,170,64,88,128,43,91,86,25,79,38,11,44,1,0,2,170,64,88,128,43,91,1,0,2
255,219,175,247,235,211,255,219,175,247,235,211,255,255,255,255,146,72,82,25,8,130,57,25,202,123,66
105,210,231,167,219,216,105,210,231,167,219,216,224,228,204,243,134,48,250,105,0,243,134,48,250,105,0,240,240,240
137,255,204,231,178,255,84,255,251,137,255,204,231,178,255,84,255,251,255,234,108,255,154,85,240,240,240
84,183,84,255,204,51,110,158,245,84,183,84,255,204,51,110,158,245,51,51,102,255,102,102,51,51,102,255,102,102
255,255,192,203,255,0,0,255,165,0,255,255,0,255,255,255,255,165,0,255,255,0,255,255,255,255,192,203,255,0,0
93,174,255,209,146,248,128,128,128,245,245,220,148,232,106
97,255,71,255,243,9,65,105,225,48,213,200,255,255,255

